,Setpoints,Energy,Temperatures,Basic Money,Comfort violations
0,17.5,0.0,20.18248892349297,0.0,0.0
1,17.0,0.0,20.071354822429083,0.0,0.0
2,22.0,500000.0,20.988221138116806,25000.0,0.0
3,17.5,0.0,20.173036461665806,0.0,0.0
4,21.5,487498.3560928118,21.018712269205896,24374.91780464059,0.0
5,20.0,0.0,20.214251740549532,0.0,0.0
6,22.5,500000.0,21.105490292631192,25000.0,0.0
7,18.5,0.0,20.351232144941694,0.0,0.0
8,22.5,500000.0,21.312078480622123,50000.0,0.0
9,22.5,500000.0,21.594963203140722,50000.0,0.0
10,17.5,0.0,20.809896959553228,0.0,0.0
11,21.0,134429.68385096997,20.99715160173558,13442.968385096998,0.0
12,18.5,0.0,20.754521509764196,0.0,0.0
13,22.5,500000.0,21.725340074077923,50000.0,0.0
14,22.5,500000.0,21.991006020197986,50000.0,0.0
15,20.0,0.0,21.189197546557597,0.0,0.0
16,22.5,495300.162507176,22.08631582995916,49530.0162507176,0.0
17,20.0,0.0,21.290698824499387,0.0,0.0
18,16.5,0.0,21.136687780460793,0.0,0.0
19,17.5,0.0,21.00335486517622,0.0,0.0
20,21.0,86852.12360000379,21.036206905519307,13027.818540000568,0.0
21,20.5,0.0,20.765160688331747,0.0,0.0
22,20.0,0.0,20.640547532498065,0.0,0.0
23,16.0,0.0,20.538864503044383,0.0,0.0
24,16.5,0.0,20.444282639092936,0.0,0.0
25,18.5,0.0,20.349050773264473,0.0,0.0
26,21.0,325637.26252700575,20.91912412059672,16281.863126350288,0.0
27,19.0,0.0,20.36072174773992,0.0,0.0
28,18.5,0.0,20.236141924894255,0.0,0.0
29,21.5,500000.0,21.151888485421452,25000.0,0.0
30,22.5,500000.0,21.36666729944669,25000.0,0.0
31,21.5,449625.11409586464,21.458179630280206,22481.255704793235,0.0
32,21.5,395418.63486520556,21.518173298868916,39541.86348652056,0.0
33,17.0,0.0,20.848456651079896,0.0,0.0
34,18.5,0.0,20.74942494743549,0.0,0.0
35,22.5,500000.0,21.69773100144855,50000.0,0.0
36,21.5,297555.0812287349,21.52474759328455,29755.508122873493,0.0
37,19.5,0.0,20.99490052422845,0.0,0.0
38,16.5,0.0,20.90814614794802,0.0,0.0
39,22.0,497669.1890762762,21.83555307911763,49766.91890762762,0.0
40,19.5,0.0,21.03565492234533,0.0,0.0
41,18.0,0.0,20.89230344353636,0.0,0.0
42,17.0,0.0,20.793611738719438,0.0,0.0
43,22.0,500000.0,21.68863798761798,75000.0,0.0
44,18.0,0.0,20.84264083651744,0.0,0.0
45,22.5,500000.0,21.695701876152576,50000.0,0.0
46,16.0,0.0,20.86389612842154,0.0,0.0
47,18.0,0.0,20.70506307196133,0.0,0.0
48,17.5,0.0,20.580158692422433,0.0,0.0
49,18.0,0.0,20.463022523172075,0.0,0.0
50,16.0,0.0,20.353192243450835,0.0,0.0
51,16.5,0.0,20.25525796313793,0.0,0.0
52,22.5,500000.0,21.180582130621126,25000.0,0.0
53,21.5,499437.4939469879,21.400281858586183,24971.874697349398,0.0
54,16.0,0.0,20.57270764903119,0.0,0.0
55,20.5,75184.78167502563,20.6338008123306,3759.2390837512817,0.0
56,21.5,438165.9089613607,21.365122694331582,43816.59089613607,0.0
57,18.5,0.0,20.714549269857766,0.0,0.0
58,21.5,412656.36914254393,21.489515564837706,41265.6369142544,0.0
59,17.0,0.0,20.82997752891779,0.0,0.0
60,21.0,162412.2042460858,21.080416124666296,16241.220424608582,0.0
61,20.5,0.0,20.761995718731548,0.0,0.0
62,22.5,500000.0,21.726019133373278,50000.0,0.0
63,17.5,0.0,20.976615482108432,0.0,0.0
64,19.5,0.0,20.893765996728785,0.0,0.0
65,21.0,92002.68493900615,21.02380565887679,13800.402740850923,0.0
66,18.5,0.0,20.806300785949915,0.0,0.0
67,22.5,500000.0,21.713717629783247,75000.0,0.0
68,18.0,0.0,20.910330197499462,0.0,0.0
69,21.0,110611.58091847783,20.995554296188445,11061.158091847785,0.0
70,16.5,0.0,20.730502728551656,0.0,0.0
71,16.0,0.0,20.610422686379295,0.0,0.0
72,19.0,0.0,20.502649432469866,0.0,0.0
73,20.0,0.0,20.399080771234296,0.0,0.0
74,20.5,105868.8346736485,20.503864215532776,5293.441733682425,0.0
75,20.0,0.0,20.2526055270912,0.0,0.0
76,19.0,0.0,20.15124833591445,0.0,0.0
77,18.5,0.0,20.067494772357986,0.0,0.0
78,16.0,0.0,20.01431594702494,0.0,0.0
79,22.0,500000.0,21.006531513513696,25000.0,0.0
80,20.0,0.0,20.27627472642825,0.0,0.0
81,22.5,500000.0,21.249108646797364,50000.0,0.0
82,20.0,0.0,20.529021805738175,0.0,0.0
83,20.5,24638.373624936037,20.527458874634597,2463.837362493604,0.0
84,22.5,500000.0,21.49695928766776,50000.0,0.0
85,18.0,0.0,20.76768323612901,0.0,0.0
86,22.0,493031.39734808326,21.716272556537223,49303.13973480833,0.0
87,20.0,0.0,20.993177674570354,0.0,0.0
88,21.5,290344.4680139255,21.526754459867256,29034.44680139255,0.0
89,18.0,0.0,21.0742812325159,0.0,0.0
90,22.0,452494.8799638849,21.918949222197117,67874.23199458273,0.0
91,20.0,0.0,21.1860736688456,0.0,0.0
92,17.0,0.0,21.06446927101683,0.0,0.0
93,20.5,255.92002003201827,20.96045572381964,25.592002003201827,0.0
94,19.5,0.0,20.850878532563208,0.0,0.0
95,19.5,0.0,20.737580579227146,0.0,0.0
96,19.0,0.0,20.629306222777895,0.0,0.0
97,16.0,0.0,20.52984762506884,0.0,0.0
98,18.0,0.0,20.432604485721843,0.0,0.0
99,16.0,0.0,20.331870367671673,0.0,0.0
100,21.5,500000.0,21.251971073860318,25000.0,0.0
101,16.5,0.0,20.462034741277208,0.0,0.0
102,17.0,0.0,20.370706285562378,0.0,0.0
103,21.5,498870.94726583705,21.35231106365137,24943.547363291855,0.0
104,19.5,0.0,20.639392372767148,0.0,0.0
105,17.5,0.0,20.60803834656684,0.0,0.0
106,22.0,500000.0,21.627912553485682,50000.0,0.0
107,19.5,0.0,20.913479383525505,0.0,0.0
108,21.0,110381.6951867152,21.122768848058936,11038.16951867152,0.0
109,19.5,0.0,20.954169921148488,0.0,0.0
110,20.5,0.0,20.942915922819463,0.0,0.0
111,17.5,0.0,20.91644785378131,0.0,0.0
112,21.5,277158.73240299744,21.446504879851798,27715.873240299745,0.0
113,21.5,251672.27968492062,21.505772676305508,37750.84195273809,0.0
114,17.0,0.0,21.07264688522901,0.0,0.0
115,22.5,500000.0,21.984974909249505,75000.0,0.0
116,19.0,0.0,21.185689328762646,0.0,0.0
117,19.0,0.0,21.056709379916285,0.0,0.0
118,20.0,0.0,20.962275144081747,0.0,0.0
119,19.0,0.0,20.870416754923355,0.0,0.0
120,16.0,0.0,20.778667591332603,0.0,0.0
121,21.0,163122.53091109634,21.029297367193642,8156.126545554817,0.0
122,19.5,0.0,20.70844111825109,0.0,0.0
123,18.0,0.0,20.61739174105134,0.0,0.0
124,19.5,0.0,20.541447986149173,0.0,0.0
125,21.0,246519.1649268111,20.973841331729684,12325.958246340555,0.0
126,21.5,427046.001147322,21.436094098132113,21352.3000573661,0.0
127,20.0,0.0,20.760156628684065,0.0,0.0
128,22.5,500000.0,21.693485903358084,50000.0,0.0
129,16.5,0.0,20.930850469086682,0.0,0.0
130,20.5,12930.694312618696,20.870236501874505,1293.0694312618698,0.0
131,22.5,500000.0,21.828738273898146,50000.0,0.0
132,20.0,0.0,21.09349475885777,0.0,0.0
133,22.0,455065.78978418297,21.943244630530163,45506.5789784183,0.0
134,22.0,385051.2192794973,22.020919803815513,38505.12192794973,0.0
135,18.5,0.0,21.36035154849525,0.0,0.0
136,21.5,163353.31444039944,21.57249957564423,16335.331444039944,0.0
137,16.0,0.0,21.218423206883283,0.0,0.0
138,21.5,192586.16868657884,21.48998511734647,28887.925302986823,0.0
139,17.5,0.0,21.08668270305936,0.0,0.0
140,20.0,0.0,20.943839222163344,0.0,0.0
141,17.5,0.0,20.813941831618425,0.0,0.0
142,20.0,0.0,20.692426529010266,0.0,0.0
143,19.5,0.0,20.559996960940374,0.0,0.0
144,18.0,0.0,20.43737154699302,0.0,0.0
145,19.5,0.0,20.31815997355234,0.0,0.0
146,18.5,0.0,20.20084492764753,0.0,0.0
147,18.5,0.0,20.090639796378372,0.0,0.0
148,21.0,445944.6184213012,20.895379412110238,22297.23092106506,0.0
149,18.5,0.0,20.185907047450232,0.0,0.0
150,19.0,0.0,20.107656822772544,0.0,0.0
151,20.5,234720.3141902329,20.567541804619218,11736.015709511645,0.0
152,16.0,0.0,20.208687217785794,0.0,0.0
153,19.0,0.0,20.187738787998285,0.0,0.0
